devicename,platform
Aquos Zeta,ANDROID
Zero 4 Plus,ANDROID
Fever,ANDROID
Vibe Z,ANDROID
Xperia Z5 Compact,ANDROID
X300,ANDROID
X7,ANDROID
Z2 Plus,ANDROID
GR3,ANDROID
Galaxy J1,ANDROID
Honor 4A,ANDROID
iDen,ANDROID
Galaxy S6 Active,ANDROID
Galaxy S Advance,ANDROID
Honor Bee,ANDROID
Infinite Hardy 1,ANDROID
Sunny 2 Plus,ANDROID
R1L,ANDROID
X5Max,ANDROID
Vega Iron 2,ANDROID
Galaxy A7,ANDROID
Tab3 8,ANDROID
Galaxy Note 4,ANDROID
Y31,ANDROID
Iconia One 10,ANDROID
Blade V7 Max,ANDROID
Sunset 2,ANDROID
Droid Maxx 2,ANDROID
Ascend Y520,ANDROID
iPhone 5s,ANDROID
One Touch Glory 2S Pro,ANDROID
Galaxy S7,ANDROID
Mi 4i,ANDROID
Carbon 5.5,ANDROID
Redmi 1,ANDROID
Honor 7,ANDROID
Galaxy J3 Pro,ANDROID
Galaxy S4,ANDROID
Archos Arnova 8,ANDROID
Le Max 2,ANDROID
Sky 3,ANDROID
R9,ANDROID
Galaxy Tab 3 Lite 7.0 3G,ANDROID
Zenfone 3 Ultra,ANDROID
Blade S6,ANDROID
Lead 2s,ANDROID
isai,ANDROID
ZenFone Live,ANDROID
Z8,ANDROID
Energy,ANDROID
Bolt Selfie,ANDROID
Honor 3X G750,ANDROID
A7-50,ANDROID
One Touch Pop C9 Dual,ANDROID
50 Diamond,ANDROID
Blade L2,ANDROID
One M8,ANDROID
F1,ANDROID
Andromax Ice,ANDROID
Vibe X,ANDROID
Mi 5,ANDROID
PHAB 2,ANDROID
Robby,ANDROID
Y6 Pro,ANDROID
R11 Plus,ANDROID
Zenfone 3 Laser,ANDROID
Xperia Miro,ANDROID
Galaxy Tab 2 7.0,ANDROID
J Butterfly,ANDROID
Fire HD 8 (2015),ANDROID
Y913,ANDROID
X5M,ANDROID
IdeaTab A5000,ANDROID
Lead 4,ANDROID
Xperia Z2 Tablet,ANDROID
Galaxy Win,ANDROID
X11,ANDROID
Nexus 5,ANDROID
U Pulse,ANDROID
Nova Youth,ANDROID
Y3,ANDROID
Xperia M5,ANDROID
Xperia E1,ANDROID
One Touch Idol Mini Dual,ANDROID
Note Max 2,ANDROID
Ocean Note,ANDROID
Andromax i3S,ANDROID
Galaxy S II,ANDROID
Y3 II,ANDROID
Galaxy Ace 3,ANDROID
Blade A310,ANDROID
Tab 2,ANDROID
Nexus 7,ANDROID
R1,ANDROID
Play 6X-1000,ANDROID
Nexus 5X,ANDROID
Galaxy Tab 7.0 Plus,ANDROID
Vandroid E1c Pro,ANDROID
ZenFone Max Plus M1,ANDROID
Mi 4,ANDROID
Lenny 3,ANDROID
Galaxy Tab S,ANDROID
Galaxy C7,ANDROID
Galaxy Note 4 S-LTE,ANDROID
ZenFone Go 4.5 Plus,ANDROID
Galaxy Tab E 9.6,ANDROID
Galaxy A5,ANDROID
Moto X Play,ANDROID
Bolt Q379,ANDROID
A616,ANDROID
Vibe P1,ANDROID
Golden Warrior A8,ANDROID
Y25,ANDROID
Vibe K6 Note,ANDROID
S2,ANDROID
Galaxy Tab A,ANDROID
ZenPad 8.0,ANDROID
Redbull V5,ANDROID
X7 Plus,ANDROID
Tab Style,ANDROID
Galaxy J3 Pro Duos,ANDROID
Galaxy Core II,ANDROID
U9X1,ANDROID
Vibe S1 Lite,ANDROID
P10,ANDROID
Y300,ANDROID
Xplay,ANDROID
R11s,ANDROID
Galaxy Tab A (2016),ANDROID
M1007,ANDROID
MeMO Pad HD7,ANDROID
Desire 816 Dual SIM,ANDROID
Galaxy A8,ANDROID
K10,ANDROID
A816,ANDROID
Ascend Y635,ANDROID
Galaxy A3,ANDROID
Canvas Mega 2,ANDROID
Xperia Ion,ANDROID
Galaxy Tab,ANDROID
V20,ANDROID
Yoga Tablet 8,ANDROID
Galaxy Trend II Duos,ANDROID
Xperia Z3 Tablet,ANDROID
P9,ANDROID
Xperia E1 Dual,ANDROID
Nexus 4,ANDROID
Galaxy S4 Mini,ANDROID
Desire 626G Plus,ANDROID
Moto X Style,ANDROID
Nova 2 Plus,ANDROID
Galaxy Note 10.1,ANDROID
Ascend G7,ANDROID
Xperia Acro S,ANDROID
Neo,ANDROID
Idol 4,ANDROID
Galaxy Core Prime Duos,ANDROID
S8,ANDROID
G4,ANDROID
Galalxy J5 Pro,ANDROID
Fonepad 7,ANDROID
Xperia L,ANDROID
Ascend G520,ANDROID
Pop 4+,ANDROID
Y55s,ANDROID
Galaxy J7 Duo,ANDROID
G6,ANDROID
Lemon X3 Lite,ANDROID
A850,ANDROID
Xperia Z3,ANDROID
Arrows NX,ANDROID
Redmi Pro,ANDROID
Galaxy E7,ANDROID
G7 Plus,ANDROID
Canvas Mega 4G,ANDROID
Vibe C,ANDROID
Galaxy Ace 4,ANDROID
Golden Warrior Note 8,ANDROID
N1 Lite,ANDROID
Galaxy C9 Pro Duos,ANDROID
Galaxy W,ANDROID
Xperia Z3 Compact,ANDROID
Elite,ANDROID
Changxiang 7 Plus,ANDROID
Honor 7i,ANDROID
One E8,ANDROID
Xperia C4 Duo,ANDROID
Neffos C5L,ANDROID
One M8x,ANDROID
Galaxy J1 (2016),ANDROID
Trio Stealth G2,ANDROID
Liquid Jade Z,ANDROID
G Pro Lite,ANDROID
A8-50,ANDROID
Xperia V,ANDROID
Mercury,ANDROID
Xperia M,ANDROID
Zero 4,ANDROID
Galaxy J7 (2016),ANDROID
5,ANDROID
MediaPad M2 10.0,ANDROID
iPhone 8,IOS
TB3-730X,ANDROID
One E9 Plus,ANDROID
iPhone 7,IOS
Galaxy S3 Neo,ANDROID
Touch Computer,ANDROID
Zenpad Z10,ANDROID
Galaxy J1 Mini,ANDROID
Blade Q1,ANDROID
ZenFone 2 Laser (ZE550KL),ANDROID
V11,ANDROID
Xperia,ANDROID
Xperia XZ Premium,ANDROID
Express,ANDROID
Enjoy 5S,ANDROID
A7000,ANDROID
Galaxy A9 (2016),ANDROID
Pixi 4 (6),ANDROID
Blade S6 Plus,ANDROID
Xperia Tablet Z,ANDROID
Disney Mobile F-03F,ANDROID
Novia 2i,ANDROID
RoverPad,ANDROID
Nexus 6P,ANDROID
P9 Lite,ANDROID
Hero,ANDROID
Galaxy Note 5,ANDROID
Xperia Z1s LTE-A,ANDROID
N1,ANDROID
Fancy 3,ANDROID
Redmi Note 4G,ANDROID
P9 Plus,ANDROID
Galaxy Chat,ANDROID
Galaxy Note 2,ANDROID
Y37,ANDROID
Maya Max,ANDROID
ZenFone Selfie,ANDROID
Galaxy Star,ANDROID
Desire 10 Pro,ANDROID
Vibe K4 Note,ANDROID
Galaxy Note 3,ANDROID
Galaxy A7 Duos,ANDROID
Vibe K5 Plus,ANDROID
Mi Note Pro,ANDROID
MediaPad M3 8.0,ANDROID
Galaxy Grand Duos,ANDROID
PadFone S,ANDROID
ZenFone Go,ANDROID
X Power,ANDROID
Redmi 3,ANDROID
Alpha,ANDROID
U3,ANDROID
F1 Plus,ANDROID
Tablet TTL7,ANDROID
Phab,ANDROID
Tab 10,ANDROID
Galaxy S2 Plus,ANDROID
Sero 8 Tablet,ANDROID
PadFone X,ANDROID
M3,ANDROID
Y31L,ANDROID
One X+,ANDROID
V30,ANDROID
Stylus 3,ANDROID
Marathon,ANDROID
Blade L5,ANDROID
One Touch Pop S9,ANDROID
3,ANDROID
One Touch Idol Alpha,ANDROID
U15 Pro,ANDROID
Mate 10,ANDROID
Neo 3,ANDROID
Zenfone 2 Laser,ANDROID
Changxiang 6,ANDROID
Desire 830 Dual Sim,ANDROID
MediaPad M1,ANDROID
Ultra Plus,ANDROID
Fonepad,ANDROID
Galaxy Note 7R,ANDROID
A390,ANDROID
MediaPad T3 7 3G,ANDROID
One Touch 4031D,ANDROID
Honor 7X,ANDROID
Tornado Slim,ANDROID
Redmi 1S,ANDROID
Mediapad T1 8.0 Pro,ANDROID
Smart V8,ANDROID
Galaxy Tab Pro 10.1,ANDROID
Xplay5,ANDROID
Ascend Y530,ANDROID
Rocket T3,ANDROID
One Touch Pixi 3 (4),ANDROID
Hot Note,ANDROID
Y35,ANDROID
Fly 1,ANDROID
